location,job_count
Berlin,14
Bochum,10
Munich,10
Hamburg,7
Stuttgart,4
"Berlin, Berlin, Germany",3
Freiburg im Breisgau,2
"Munich, Bavaria, Germany",2
Frankfurt am Main,2
Dresden,2
Braunschweig,2
Koblenz,2
Nuremberg,2
Drebkau,1
Dortmund,1
Arnsberg,1
Altenholz,1
Aalen,1
Bad Oeynhausen,1
Fernwald,1
Fleischwangen,1
Emsdetten,1
Erkelenz,1
Düsseldorf,1
Chemnitz,1
Ganderkesee,1
Hamm,1
Heusenstamm,1
Hanover,1
Konstanz,1
Kreuztal,1
Magdeburg,1
Limburg,1
Freudenstadt,1
Freital,1
Mellingen,1
Moers,1
Nidda,1
Neu-Ulm,1
Nortorf,1
Oberhausen,1
Oberkochen,1
Neuss,1
Osnabrück,1
Paderborn,1
Rackwitz,1
Potsdam,1
Röttingen,1
Stein,1
Torgau,1
Ulm,1
