location,count
Hanover,1
Magdeburg,1
Rackwitz,1
Ulm,1
Potsdam,1
Neu-Ulm,1
Nortorf,1
Drebkau,1
Stein,1
Aalen,1
Altenholz,1
Erkelenz,1
Chemnitz,1
Röttingen,1
Bochum,10
Berlin,14
Nuremberg,2
Neuss,1
Dresden,2
Emsdetten,1
Düsseldorf,1
Hamburg,7
Freiburg im Breisgau,2
Bad Oeynhausen,1
Kreuztal,1
Paderborn,1
Moers,1
Braunschweig,2
"Munich, Bavaria, Germany",2
Ganderkesee,1
Heusenstamm,1
Osnabrück,1
Koblenz,2
Stuttgart,4
"Berlin, Berlin, Germany",3
Fleischwangen,1
Arnsberg,1
Nidda,1
Limburg,1
Oberhausen,1
Freital,1
Konstanz,1
Mellingen,1
Fernwald,1
Hamm,1
Frankfurt am Main,2
Oberkochen,1
Freudenstadt,1
Dortmund,1
Munich,10
Torgau,1
